experiment,run_name,sampler,elapsed_sec,budget_per_sample,total_reward_evals,forward_passes,fp_per_sample,validity,uniqueness,qed_mean,qed_top10,qed_max,num_samples,beam_width,branching_factor,steps_per_interval,elite_buffer_size,diversity_penalty,diversity_cutoff,c_uct,rollout_budget_per_sample,softmax_temp,randomness,min_add_len,seed,reward_type,reward_alpha
hp_sweep,beam_B50_N20_L2_t05,beam_search,45.52786612510681,50.4,2520,55440,1108.8,0.42,1.0,0.9241809630073201,0.9472860990051257,0.947893550795942,50,20,2,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N20_L2_t08,beam_search,185.97359156608582,64.8,3240,87480,1749.6,0.72,1.0,0.9308538702486958,0.9478956716257549,0.9479230456305644,50,20,2,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N20_L4_t05,beam_search,176.53342390060425,67.2,3360,100800,2016.0,0.26,1.0,0.9401279431473596,0.9472375978045142,0.9472375978045142,50,20,4,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N20_L4_t08,beam_search,37.34721493721008,48.0,2400,52800,1056.0,0.5,1.0,0.8473961230534712,0.9473810669508358,0.9475347102823918,50,20,4,4,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N20_L8_t05,beam_search,43.41355633735657,48.0,2400,57600,1152.0,0.26,1.0,0.6833323475753801,0.9442709504025094,0.9442709504025094,50,20,8,8,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N20_L8_t08,beam_search,75.5330867767334,76.8,3840,134400,2688.0,0.12,1.0,0.9472614622892315,0.947893550795942,0.947893550795942,50,20,8,8,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N50_L2_t05,beam_search,33.413830280303955,40.0,2000,42000,840.0,0.28,1.0,0.570197553063416,0.6474728893115365,0.6474728893115365,50,50,2,2,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N50_L2_t08,beam_search,28.46893072128296,40.0,2000,42000,840.0,0.26,1.0,0.9254843640209443,0.9388727059418357,0.9388727059418357,50,50,2,2,50,,,,,0.8,0.5,40,0,none,0.0
hp_sweep,beam_B50_N50_L4_t05,beam_search,33.54484295845032,40.0,2000,44000,880.0,0.2,1.0,0.5281099830165277,0.5997819536090209,0.5997819536090209,50,50,4,4,50,,,,,0.5,0.5,40,0,none,0.0
hp_sweep,beam_B50_N50_L4_t08,beam_search,35.42853379249573,48.0,2400,55200,1104.0,0.2,1.0,0.9479192229578832,0.9479283615625089,0.9479283615625089,50,50,4,4,50,,,,,0.8,0.5,40,0,none,0.0
